Unnamed: 0,business_id,cool,date,funny,review_id,stars,text,useful,user_id
1,pomGBqfbxcqPv14c3XH-ZQ,0,2012-11-13,0,dDl8zu1vWPdKGihJrwQbpw,5,i love this place! my fiance and i go here atleast once a week. the portions are huge! food is amazing. i love their carne asada. they have great lunch specials... leticia is super nice and cares about what you think of her restaurant. you have to try their cheese enchiladas too the sauce is different and amazing!!!,0,msQe1u7Z_XuqjGoqhB0J5g
2,jtQARsP6P-LbkyjbO1qNGg,1,2014-10-23,1,LZp4UX5zK3e-c5ZGSeo3kA,1,terrible. dry corn bread. rib tips were all fat and mushy and had no flavor. if you want bbq in this neighborhood go to john mulls roadkill grill. trust me.,3,msQe1u7Z_XuqjGoqhB0J5g
4,Ums3gaP2qM3W1XcA5r6SsQ,0,2014-09-05,0,jsDu6QEJHbwP2Blom1PLCA,5,delicious healthy food. the steak is amazing. fish and pork are awesome too. service is above and beyond. not a bad thing to say about this place. worth every penny!,0,msQe1u7Z_XuqjGoqhB0J5g
5,vgfcTvK81oD4r50NMjU2Ag,0,2011-02-25,0,pfavA0hr3nyqO61oupj-lA,1,this place sucks. the customer service is horrible. they dont serve food unless you order a pizza from a neighboring restaurant. who does that? they dont control their crowd. many times i've gone i've seen fights. the bartenders suck - i've almost got in a fight with one because she was a complete bitch. refused to serve me a drink because she was busy celebrating her friends birthday behind the bar. this place is ridiculous. i will never go there again.. ever.,2,msQe1u7Z_XuqjGoqhB0J5g
10,yFumR3CWzpfvTH2FCthvVw,0,2016-06-15,0,STiFMww2z31siPY7BWNC2g,5,i have been an emerald club member for a number of years.  i have always been very satisfied with their vehicles and customer service.  this recent visit to pittsburgh was no exception.,0,TlvV-xJhmh7LCwJYXkV-cg
11,UBv8heCQR0RPnUQG0zkXIQ,0,2016-09-23,0,HkYqGb0Gplmmk-xlHTRBoA,1,the score should be negative. its horrible. the have like 6-7 items in their buffet. no naans or salad. the items were either bland or stale. my friend had a potato curry which was completely stale without salt. the biriyani was okayish but bland. would never recommend to anyone.,0,NhOc64RsrTT1Dls50yYW8g
12,hdgYnadxg0GANhWOJabr2g,0,2014-08-23,0,RgqWdZA4xR023iP3T6jVfA,5,i went there twice and i am pretty happy with my haircut. the people are  really friendly. would definitely go again.,0,NhOc64RsrTT1Dls50yYW8g
19,gZGsReG0VeX4uKViHTB9EQ,0,2017-08-16,0,51RHs_V_fjuistnuKxNpEg,5,finally! after trying many mexican restaurants all thru phoenix & scottsdale we found an authentic mexican restaurant that was amazing! fresh tortilla chip & salsa ready and waiting at the table when we sat down. food was incredible! i ordered the combo with a beef tamale with red sauce & chicken enchilada. both were full of meat from beginning to end & had so much flavor! highly recommend this place,0,5ngpW5tf3ep680eG1HxHzA
25,f-v1fvtnbdw_QQRsCnwH-g,0,2017-11-18,0,alI_kRKyEHfdHibYGgtJbw,1,i have to write a review on the fractured prune. first off i love doughnuts second i used to work in a bakery. so i know a little about the almighty doughnut. i was there this past thursday night at westgate where i was having a nice dinner at opah life. i wanted a little desert so i went to this doughnut shop it seemed clean enough so i made my selections and took them home. mistake should have eaten one there i would have ask for my money back. i took a bite out of each on to confirm what i thought they were the worst doughnuts i have ever had. horrible not sure if the oils was rancid or not hot enough either way eat at your own risk.,0,Fc_nb6N6Sdurqb-rwsY1Bw
26,yz66FIUPDKGhILDWzRLeKg,0,2017-11-18,0,85DRIjwPJOTb4q0qOlBstw,1,i wish i could tell you all about the food but there was problem. my friend and went there for dinner we were seated quickly unfortunately it was in middle of the empty dinning room so we asked to be moved to the side which we were. upon sitting down we were told we could only have one of the very small table tops there were two together so the hostess told us the manager said we couldn't use two table tops in the empty restaurant. so we got up and left. with the manager chasing us blaming the hostess for the the ridiculous action. needles to say we will never return.,1,Fc_nb6N6Sdurqb-rwsY1Bw
27,6qDRqHWqf0EeHupSUEBfKg,0,2015-12-10,0,GbiLIKmQPVCBtdNkTVdVSA,5,wonderful! one of my favorite places. bbq is expertly cooked and service is always prompt. the price is right.,0,G22ITfVETYHtIhnn5lLRrQ
28,7AlULGZI1pHt0imODsqdkg,0,2012-02-12,0,UaHgsL0xS4UnJ_iKqeOk_w,5,the price is about the same as quizinos. the sandwich was great! they have a live musician so it is kind of loud. it was a good experience.,0,FjH3TH8OvHGLNEbzdEYlNg
29,th4pZ5LkoIIkb1Vmu_m2DA,0,2012-02-12,0,c4zzAD1S6721Fh-acCBy-g,4,the food was ok. you get a lot of food for the price. there is bot a lot of seating.,0,FjH3TH8OvHGLNEbzdEYlNg
30,nsSfCKW9KDB4COj9bzXApw,0,2012-02-12,0,TTBwocu2mvqJFJrwmJN0Sw,5,the staff were friendly and helpful. the food was fabulous. our whole experience was awesome!,1,FjH3TH8OvHGLNEbzdEYlNg
31,cP8ErpZfRzdVR5Fvks-pnQ,0,2012-02-12,0,-CresnnXQSHrQ85Ogm-Pqw,5,the staff were very helpful. we painted pottery which took about 2 hours. it was a lot of fun and we received our pottery with in 3 days.,0,FjH3TH8OvHGLNEbzdEYlNg
32,Edr6SafmQrZa6CcFuItoqg,0,2014-06-03,0,U04YgYr4PiGUxB46J4xapg,2,limited vegetarian options. ordered greek salad but it was sub-par and priced at a ridiculous (almost) thirteen dollars. will be skipping this joint when traveling through this airport the next time.,0,B7Fh30KQT1xPSGt_pIhRRA
